ThreadId,Maze file,X Initial,Y Initial,X Final,Y Final,Velocity,Strategy,Instructions,Basic Blocks Count,Load Count
15,Maze50.maze,30,30,30,30,99,bfs,1,1957104,4842103
15,Maze50.maze,30,30,30,30,99,dfs,1,2028587,2089635
15,Maze50.maze,30,30,30,30,99,astar,1,7845533,16523993
15,Maze100.maze,1,1,30,30,99,bfs,1,936687563,1495285285
15,Maze100.maze,1,1,30,30,99,dfs,1,16213395956,12117635373
15,Maze100.maze,1,1,30,30,99,astar,1,789149902,1457203965
15,Maze100.maze,5,5,30,30,99,bfs,1,936687563,1495285285
15,Maze100.maze,5,5,30,30,99,dfs,1,16197313801,12101164829
15,Maze100.maze,5,5,30,30,99,astar,1,789150462,1457204455
15,Maze100.maze,10,10,30,30,99,bfs,1,936687563,1495285285
15,Maze100.maze,10,10,30,30,99,dfs,1,16171755438,12078756955
15,Maze100.maze,10,10,30,30,99,astar,1,711025782,1313145877
15,Maze100.maze,20,20,30,30,99,bfs,1,546963542,873866341
15,Maze100.maze,20,20,30,30,99,dfs,1,15886669788,11851779782
15,Maze100.maze,20,20,30,30,99,astar,1,375546946,694539562
15,Maze100.maze,30,30,30,30,99,bfs,1,2010254,4932753
15,Maze100.maze,30,30,30,30,99,dfs,1,2081737,2180285
15,Maze100.maze,30,30,30,30,99,astar,1,7898447,16614461
16,Maze250.maze,5,5,30,30,99,bfs,1,5303288551,8457918127
16,Maze250.maze,5,5,30,30,99,dfs,1,102200070454,76233473297
16,Maze250.maze,5,5,30,30,99,astar,1,5003689948,9228553085
16,Maze250.maze,5,5,40,40,99,bfs,1,4507326435,7188748434
16,Maze250.maze,5,5,40,40,99,dfs,1,99827514313,74459204189
16,Maze250.maze,5,5,40,40,99,astar,1,4277585681,7889652215
16,Maze250.maze,5,5,50,50,99,bfs,1,4305858824,6867506298
16,Maze250.maze,5,5,50,50,99,dfs,1,98955681767,73807451287
16,Maze250.maze,5,5,50,50,99,astar,1,3703134577,6830393829
17,Maze250.maze,10,10,30,30,99,bfs,1,5303288551,8457918127
